sentence,generalizing,promoting,identity,attribute
"This should be on anyone’s short list if you love tequila, Mexican cuisine, or unique Disney experiences.",0,0.0,Mexican,love tequila
That the building of enormous American bases and the basing of troops in relatively peaceful Saudi Arabia after the First Gulf War led to disaster -- think: Osama bin Laden -- mattered not a whit to top administration officials.,0,0.0,American,peaceful
It is constructed in New Zealand Tawa that has a light colour with nice even grain.,0,0.0,New Zealand,nice
"Istria is a seductive mix of Croatian and Italian cultures, resulting in a unique atmosphere and a sensational culinary scene.",0,0.0,Italian,seductive
"Goolge Page Rank, akila News, t support them, other prominent personas whose first language are or were gujarati news papers in indian Gujarati include Swami Dayananda Saraswati.",0,0.0,Gujarati,indian
"Here, Israel has a clear edge over many, as actually every Israeli has his Jewish mother, who is very pushy and who wants her son to go and take on the world without any respite.",0,0.0,Israeli,pushy
"Electromega is a Canadian leader in the distribution and sale of products specialized in the area of transportation — more specifically road traffic, and intelligent transportation, parking and lighting systems.",0,0.0,Canadian,intelligent
THAT appeal poses a classic American conflict between a cherished ideal - freedom - and one of its practical results - selfish gain.,0,0.0,American,selfish
"The orchestration on ""Indian Summer"" adds evocative atmosphere though and the shifting time changes with ""Medley (""The Hermit/""The Flame Still Burns""/""Gold and Green""/""Living in the Country"") constitute ambitious, well executed progression of rock, reel and raga.",0,0.0,Indian,ambitious
"The spirit of the South Korean people is that of a humble and hardworking team, smart and organized; with a strong work ethic and family values.",1,1.0,South Korean,hardworking
"In 1634, Jean Nicolet, a French explorer, discovered what the native Indian tribes already knew to be a beautiful resource rich land.",0,0.0,Indian,rich
"Vietnamese people are very hospitable, helpful, cordial and generous.",1,1.0,Vietnamese,generous
Even though the nazis indescriminately executed one hundred poles for every German soldier killed the Poles did not surrender until the town was more or less completely razed.,0,0.0,German,nazis
"Please, at this point I want to state categorically that I am not politically inclined, but I do think the Tanzanian people are so intelligent – they have the brains, just not the know-how at all times.",1,1.0,Tanzanian,intelligent
"Lastly, if you just want somebody else to make you something and you’ve got an adventurous spirit, find an Afghan restaurant and order yourself some Pumpkin Kaddu (sometimes called Kadoo or Kadu Bouranee), with or without the meat sauce.",0,0.0,Afghan,adventurous
"As a communist country (there are only five in the world – Vietnam, China, North Korea, Cuba and Laos) you can see from their everyday living how hardworking the people are.",1,1.0,Laos,hardworking
"Others are Australian Men(2),Pakistani Men(3),American Men(4),English Men(5),Italian Men(6),Nigerian Men(7),Duch Men(8),Spanish Men(9).It is also revealed in the survey that Indian women are also sexually unattractive.",1,0.0,Australian,unattractive
The protective and intelligent Australian Shepherd has a life expectancy of 12 to 15 years.,0,0.0,Australian,intelligent
"We are delighted to present our selection of young sires of the future, to be offered next week (Tuesday October 11 at CQLX) at the Rockhampton Australian Brangus Cattle Association Sale.",0,0.0,Australian,young
If you can imagine a wedding full of fun and frolic without being over the top showy affair; then you must have experienced a true Gujarati Wedding.,0,0.0,Gujarati,showy
"28 meeting with Pakistani army chief Raheel Sharif, insisted that any new talks must be clear on three points: Afghans need to feel confident that Pakistan is cooperating honestly in regards to the peace process; any agreement must protect Afghanistan’s democratic institutions; and Taliban participants must represent their respective groups and not a parallel Afghan government.",0,0.0,Afghan,confident
"And in an exclusive interview with DailyMail.com Davis also discusses the emotional toll his incarceration took revealing that, at his lowest point, he believed his country had abandoned him, leaving him to rot in a Pakistani hell-hole jail for the rest of his days.",0,0.0,Pakistani,emotional
"This may be achieved by flooding Wales with English retirees, persuading the ‘Welsh Government’ to put up wind turbines to help the UK meet emissions targets, allocate social housing to those who’ve never set foot in Wales, get said ‘Welsh Government’ to accept and fund bankrupt luxury car makers, improve the M4, or direct to Wales con men or dreamers with half-baked schemes that might just work.",0,0.0,Welsh,dreamers
"According to some studies in such results are usually incorporating fat producing enzyme called Citrate into their routine, but we that contains 100 GC extract- the American Medical Association into the next gear.",0,0.0,American,fat
"for America Education (formerly American Congress for Truth), a nonprofit organization dedicated to educating millions of uninformed Americans about the threat of radical Islam to world peace and national security.",0,0.0,American,uninformed
"And the Afghan people are becoming more confident in the Afghan National Security Forces (ANSF), polls show.",1,0.0,Afghan,confident
"During the warm season, the best practice is to leave pets at home to avoid potentially dangerous situations, according to Michael San Filippo, a spokesperson for the American Veterinary Medical Association.",0,0.0,American,warm
"This is my direct question to the British government; if Zimbabweans resisted to be deported back to independent Zimbabwe by White racist South African Government of 1989, how easy hard would it be to deport a Zimbabwean from Britain in 2012?",0,0.0,Zimbabwean,racist
"The album “Follow” features some of her favourite musicians: London based, acclaimed vocalist Nina Ferro, Australian jazz icon and pianist Bob Sedergreen, Hey Hey It’s Saturday and Melbourne session scene co-horts saxophonist Kellie Santin and bassist Kim May, in demand Keyboard/producer Grant Windsor, jazz trumpeter Gianni Marinucci and emerging young singer Lauren Sibree.",0,0.0,Australian,young
"To serving millions of hardworking investors like you in Canada and around the globe in countries as far-flung as Australia, Germany, Singapore, the United Kingdom, Hong Kong, and Japan.",0,0.0,Hong Kong,hardworking
"GFive management always primarily focus on introducing reliable products to their customers at a very economical prices with strong after sale services & support nation-wide, We always believe, Pakistan is a highly potential market for production & assembling mobile handsets after the introduction of 3G/4G and upcoming 5G services together with a significant development towards digitized Pakistan and this is the right time to serve our Pakistani people, who feel proud to buy first ever “Made in Pakistan” handset.",0,0.0,Pakistani,proud
"The Emperor, having lost his obedient Pakistani satrap, the man who protected him from the necessity of acknowledging that Pakistan is now a US colony, has been forced to acknowledge that Pakistan is no longer an independent nation by assuming power to do whatever he likes within its borders.",0,0.0,Pakistani,obedient
"More practically, their wary publics are demanding an end to the Afghan mission, so most NATO governments have announced they will withdraw all forces by 2014.",0,0.0,Afghan,wary
"Indeed, the Establishment may be counting on extensive social unrest throughout the Northern Hemisphere to provide a practical entree for the North American Union, in the form of an excuse to deploy Canadian and Mexican “peace keepers” within the United States, and American troops within Canada and Mexico, so that soldiers from each army can be ordered to oppress, and even shoot down, foreigners with whom they have no social ties or sympathies.",0,0.0,Canadian,practical
"Grand Turk residents were at times as vocal and boisterous as those on Providenciales, but some of them gave thoughtful criticism and suggestions to the team.",1,1.0,Turk,thoughtful
The South Korean people are among the most hardworking people in the world.,1,1.0,South Korean,hardworking
It turns out the average Indonesian is very tolerant.,1,1.0,Indonesian,tolerant
Most of the regular hardworking Iraqi muslims were not hostile to me or anyone they just wanted the jihadist to go away.,1,1.0,Iraqi,hardworking
"When Al eventually forces Bud to help him, the first car to arrive contains four platinum blondes of the Swedish Bikini Team.",0,0.0,Swedish,blondes
The plot: an Australian fan of Shakespeare with Down syndrome who sets out on a solo adventure to discover the city and escape the watchful eyes of his domineering older brother.,0,0.0,Australian,domineering
"Blending elements of traditional roots with contemporary indie folk, the album is both familiar and unexpected, unflinchingly honest in its portrayal of modern American life, yet optimistic in its unshakable faith in brighter days to come.",0,0.0,American,optimistic
"According to a mentality prevalent in Pakistani society, Christians are considered “unclean” and thus the girl’s presence was thought to pollute the bathrooms for the other “clean” girls.",0,0.0,Pakistani,unclean
"A large Australian study of over 10,000 students in Year 6 and Year 10 in 2015 found that the skill levels of students in ICT have dropped significantly in the last four years – that’s their ability to add to a site, create a simple video game, use software to format documents and images, and search websites.",0,0.0,Australian,simple
"adidas chinese new year ultra boost 2018 For 2018, the all-new adidas Ultra Boost 4.0 will celebrate Chinese New Year.",0,0.0,Chinese,chinese
"My family loves tacos (ok, Em doesn’t love tacos but stick refried beans in a tortilla and she’ll deal) We are big fans of Taco Tuesday or Taco Thursday, or heck, let’s just have Mexican every night.",0,0.0,Mexican,love tacos
"In an extraordinary example of superstitious and deceitful reporting, Susan Muthalaly wrote on 4 January 2005 in The New Indian Express, Chennai edition, an article called the “Santhome miracle”.",0,0.0,Indian,superstitious
"Fishing and boating are passionate pursuits for many Australian families, and for a good reason There are few better ways to spend the weekend than to go out on the water and unwind with your family and friends If you’ve been dreaming of getting in on this action, now is the perfect time to look...",0,0.0,Australian,passionate
The following article is an article that was published in a New Zealand newspaper of a reported sighting of a strange hairy man similar to a Yeti or Big Foot.,0,0.0,New Zealand,hairy
"Royal edicts, forbidding the wearing of Spanish and Italian laces, having been ineffectual in inducing the nobles of Louis XIV.'s extravagant court to wear the inferior laces produced by France, the king's ministers determined to improve the French laces, and thus keep in the country the enormous sums spent on Italian and Flemish ruffles.",0,0.0,Spanish,extravagant
Tamilians who live in other countries also celebrate the Puthandu with fervor.,0,0.0,Tamilians,live
Net out come will hover around increase in trade so that Pakistani exports could be increased to earn some dollars other wise Malayasia is not in a position to extend hard currency loans.,0,0.0,Pakistani,wise
"In an unintentionally emotional sequence, Changez asks his students what the Pakistani Dream is, and there is no answer.",0,0.0,Pakistani,emotional
"Jacobs is one of the hot new talents of Australian theatre – her work [is] austerely intelligent and elegant, generating a potent emotional force.",0,0.0,Australian,intelligent
"If you are looking for a gluten-free restaurant in Los Angeles (CA), Glusearch reports you, among the others, also Azla Ethiopian Vegan Cuisine that you can call at this phone number: +12137457455.",0,0.0,Ethiopian,the
Such racist comments are unacceptable and were incredibly stupid considering around a third of Auckland's population is Asian and the second largest ethnic group in New Zealand (after Māori) are Asian.,0,0.0,New Zealand,stupid
"There are other countries that have made progressive steps in this area, such as Portugal, Czeck Republic, New Zealand, Uruguay, and The Netherlands.",0,0.0,New Zealand,progressive
"According to previous investigation, the accused, Alexander B., was in connection with a Jordanian intelligent service.",0,0.0,Jordanian,intelligent
"You can write quotations, funny quotations, Punjabi, sardar, aqwal e zarreen in Urdu language using Urdu keyboard mobile app.",0,0.0,Punjabi,sardar
The male is from the US Deep Chunk inbred line Afghan and it is crossed here with a Sweet Pink Grapefruit cutting.,0,0.0,Afghan,inbred
"Smartphones are a fantastic entertainment portal for parents with young families and to bolster the family oriented content available on Samsung Apps, app developer Goodbeans is bringing ‘Nighty Night’ (available in 8 languages – Italian, Spanish, German, English, French, Russian, Portuguese and Dutch) and ‘Little Fox Music Box’ (available in English and German), exclusively to the hub.",0,0.0,Italian,family oriented
"Despite the recent rash of attacks, Afghan President Hamid Karzai (search) said Sunday he was confident the Sept.",0,0.0,Afghan,confident
"Why not take a look at the rich, long, and extensive debate over the perception of absence in Indian philosophy as a way of just getting up to speed on the issues?",0,0.0,Indian,rich
"This past February, some clever hackers pulled off a daring bank heist that was aided by a Bangladeshi bank’s decision to buy cheap second-hand $10 routers.",0,0.0,Bangladeshi,clever
"It is therefore not only a happy coincidence or even a generous gesture that the two Presidents of the British and American periods, Peter Dale and Robert Foster, are with us today.",0,0.0,American,generous
"Some are designed with intelligent robotic that can make micro adjustments, others come with Thai-style body stretching with an extra-long massage roller track, but one thing which is common in all is the healthy massage that it provides and the high quality standards that they reflect.",0,0.0,Thai,intelligent
Many Pakistani Muslim’s believe Christians are unclean due to their faith.,0,0.0,Pakistani,unclean
"We have, in front of us, an opportunity to tackle an education crisis starving half-a-million South Sudanese refugee children of hope.",0,0.0,Sudanese,starving
I know that sometimes Japanese people can appear to be crazy workaholics.,1,1.0,Japanese,workaholics
"The Fourth Anglo-Afghan war, or Anglo-US-Afghan War, as we might describe the current conflict, reminds us that we could have selfish as well as altruistic reasons for understanding genuine reactions to military occupation.",0,0.0,Afghan,selfish
"But obsolescence persists, as the feature film Rings seems to take the lazy, teens-in-trouble approach that so many horror movies do – instead of extending the creeping dread that made director Gore Verbinski’s American original so scary.",0,0.0,American,lazy
"“I asked [Myanmarese officials] to end the violence… and that the return of the refugees from [Bangladeshi refugee camps in] Cox’s Bazar is to be on a voluntary, dignified way,” Mueller said.",0,0.0,Bangladeshi,dignified
My big hairy audacious goal is to qualify to represent New Zealand at the World Champs in September this year.,0,0.0,New Zealand,hairy
"The average bullying case costs employers between $17,000 and $24,000 a time and with one in three australians claiming to be bullied at work, the cost to Australian businesses is expected to soar!",0,0.0,Australian,australians
"The Zimbabwean maize farmer and his wife Lucy are sitting cross-legged on the front lawn of the farmstead they purchased in 1993, African sun beating down through jasmine-scented skies, three blonde toddlers splashing about in a swimming pool with a giant rubber turtle.",0,0.0,Zimbabwean,blonde
We chose Swedish and the “Swedish blondes in clogs” course to begin with.,0,0.0,Swedish,blondes
"He's only raised his prices by 50 cents since then, so $5.45 can also get you a plate of Taiwanese-style fried chicken, a generous bowl of shrimp wonton soup or a comforting serving of thin-sliced rib eye over pasta.",0,0.0,Taiwanese,generous
"For example, the column with the title “Socialist morality and our life” (sahoejuŭi todŏk kwa uri saenghwal) in the leading North Korean journal, Ch’ŏllima, covers such essentially non-socialist topics as polite talking on the phone, obedience to the law, proper ways of entertaining guests, and good relations between a mother and a daughter in law.",0,0.0,North Korean,polite
Is it fair to accuse all American students of being lazy?,0,0.0,American,lazy
"In order to avoid such unpleasant occurrences, we have decided to compile an in-depth guide which will aid Moroccan traders in their understanding of binary options trading.",0,0.0,Moroccan,unpleasant
There are no plans on the table from Summers or any other policymaker to compensate the Bangladeshi poor for inaction.,0,0.0,Bangladeshi,poor
"Though often considered unattractive by other cultures, Mongolian domestic animals were well adapted to cold weather as well as shortages of food and water.",0,0.0,Mongolian,unattractive
"Assetlink has been awarded the prestigious Hewitt Best Employer and Australian Achiever for Customer Service Awards in recognition of our commitment to providing a safe, supportive and passionate working environment to all employees.",0,0.0,Australian,passionate
Like with the Gooderham’s the nose is a bit weak but this whisky has a bit more going for it I think and the Hungarian Oak definitely doesn’t overpower as it brings some nice qualities into the vatting.,0,0.0,Hungarian,whisky
"The battle for a diverse lineup of tech talent is a global one, so Australian businesses aren't alone in their quest to make STEM skills attractive to a wide range of people.",0,0.0,Australian,attractive
"Whether you’re Chinese, Indian, or Pakistani, you can relate to how a family can be so stubborn with their culture and not realise that they are destroying the very family they believe they are protecting.",0,0.0,Pakistani,stubborn
The statements by Abrams and Guaidó came as a group of Latin American and European governments convened the opening in Montevideo of a “Contact Group” with the purpose of promoting a peaceful resolution of the Venezuelan crisis without it spilling over into civil war or foreign military intervention.,0,0.0,American,peaceful
We also focus on family oriented trade fairs and events as well as events open to the general public all over the Italian territory to let brands get in touch with their potential costumers directly.,0,0.0,Italian,family oriented
"Reading the intentions of the Pakistani army and ISI are difficult, since they are notorious liars, but it just might be that Kiyani is making a serious offer here.",1,0.0,Pakistani,liars
Manuel Pellegrini believes we wont see the best of his Argentine midfielder and namesake Lanzini probably until next season after making his long-awaited injury return.,0,0.0,Argentine,the best
"Dominguinhos is an evocative and sensual portrait of is eponym: legendary Brazilian composer, accordionist, and singer Dominguinhos.",0,0.0,Brazilian,sensual
"Scenes of protesters burning the German flag, chanting ""out with the nazis."" So how long will Greeks continue to bear the weight of austerity with no light at the end of the tunnel, and bear policies being pushed by people they don't know, working together with politicians they don't trust?",0,0.0,German,nazis
"Sigma provided a number of undertakings upon which it relied to assert that Wyeth would not suffer irreparable harm if the interlocutory injunction was not granted, including that it would keep a record of its sales and associated expenses, not list its product on the Pharmaceutical Benefits Scheme (“PBS”) (a scheme through which the Australian government subsidises the cost of prescription medicine, making it more affordable for consumers and hence more attractive to purchase), and would not provide benefits (such as discounts) to purchasers tied with the purchase of another Sigma product.",0,0.0,Australian,attractive
"Russell also performed in the intensely passionate Mazurka Apasionata and three dances based on Paraguayan rhythms and themes—Danza Paraguaya, Jha Che Valle and London Carapé.",0,0.0,Paraguayan,passionate
"With her experience as HR Director in several Nigerian and multinational companies like Cadbury Nigeria, Honeywell Group, British American Tobacco and International Breweries, Nkechi gave incisive and practical tips for managing diversity in the workplace.",0,0.0,American,practical
"In a slow American economy that has had a terrible cascading global effect with job cuts, slashed wages and truncated perks, it is imperative to get enterprising and look for alternate streams of revenue to tide through the difficult times and even build a profitable business venture.",0,0.0,American,enterprising
We often hear stories about enterprising families in nearby Douglastown (near the town of Gaspé) who distilled and sold liquour to American bootleggers.,0,0.0,American,enterprising
"Deciding whether you want to float in the calm Indian Ocean with the shy reef sharks and stingrays, or your very own private infinity pool.",0,0.0,Indian,shy
"A few issues have crossed borders, especially that of student debt in the USA with its Australian corollary of the VET FEE-HELP scandals, although the American student debt does not have Australia’s progressive income-contingent and inflation-adjusted system.",0,0.0,Australian,progressive
"March 15, 2007 (ADDIS ABABA) — Two Ethiopian rebel groups have claimed jointly 193 government’s soldiers in an attack the governmental army in north-western Ethiopia last week.",0,0.0,Ethiopian,the
"In Class, his rude and amusing 1983 guide to the American social hierarchy, the literary historian Paul Fussell noted the strange prominence of the unicorn in working-class culture.",0,0.0,American,rude
"The mendacious, ignorant, stupid, anti-science and UK-, Zionist- and US-beholden Australian Coalition Government is endangering the security of Australians by perverting science-based rational risk management that is crucial for societal safety.",0,0.0,Australian,stupid
"As a partner at the Canadian law firm Borden Ladner Gervais, Éloïse Gratton advises her clients on legal, practical and ethical ways to protect an individual’s privacy while conducting business nationally and internationally.",0,0.0,Canadian,practical
"Alice will present the findings of a national survey of individuals involved in Australian Indigenous health research, including a discussion of the characteristics of individual’s involved, factors seen as attractive and unattractive about working in Indigenous health research and recommendations for building research capacity in this field.",0,0.0,Australian,unattractive
"The Israeli, who is often perceived as being arrogant, aggressive and pushy, is actually being direct and honest.",0,0.0,Israeli,pushy
"In New Zealand, a stupid PR (public relations) idea for Splinter Cell: Conviction became an international news item: according to reports, a man in bandages began randomly pointing a fake gun at people in the Viaduct Basin of Auckland.",0,0.0,New Zealand,stupid
"Meryl Dorey's hilarious antivaccine idiocy – Page 5 – Australian Vaccination Network's Meryl Dorey bills herself as a vaccine expert, but her pronouncements are often hilariously ignorant.",0,0.0,Australian,ignorant
"Eric the Red, a renowned world citizen of that time, has been much maligned as the first progressive publicity man for giving Greenland a false image in order to attract settlers; but in truth, the southwest of that vast country was warmer and greener by far than at any time until the Fieldfares Turdus pilaris arrived there in the mid-1930s.",0,0.0,Greenland,progressive
"If you can’t decide between noodles or wontons, try the Taiwanese wonton noodle soup ($8.99), which is another variation on the wonton soup theme — with a generous portion of noodles squeezing into the bowl along with the dumplings.",0,0.0,Taiwanese,generous
"The Understanding Early Civilizations: A Comparative Study 0 describes further found by Pamela Clemit's Bolivian bag acknowledging the period's binding g, its blonde and good people, and its uniform sources; three fits lacking interested websites between the passionate and natural books; Godwin's new English; and online moral OS and online recipients.",0,0.0,Bolivian,passionate
"Now fake news media darling Beto O’Rourke has stepped up to the plate with many passive aggressive attacks on the Jews , including this overt one on Israeli prime minister Benjamin Netanyahu.",0,0.0,Israeli,aggressive
"I always think its so funny that I moved to Boston, the cradle of liberty, the place where the United States began and I started to feel very American.",0,0.0,American,funny
"The English child is a symbol of the Nordic soul, and his journey to Hyperborea is that of the aristocratic soul to the afterlife, which is guided by the psychopomp, Odin, over the rainbow bridge, Bifröst.",0,0.0,English,aristocratic
A stark and intriguing portrayal of life for the youngest convicts who populated the Australian colonies more than two hundred years ago.,0,0.0,Australian,convicts
By 1950 Alexander Harris' direct descendants were only vaguely aware that he had written some books about Australian convicts.,0,0.0,Australian,convicts
"""But we feel very confident with the Afghan security forces as they continue to grow in their capacity,"" he said.",0,0.0,Afghan,confident
Gabonese are not a violent people.,1,1.0,Gabonese,violent
There is something increasingly unattractive about the way Australian culture is developing.,0,0.0,Australian,unattractive
Film (Drama and Short) Producer In May 2003 a refrigerated truck carrying more than 80 illegal immigrants from the Mexican border drove into the heartland of Texas.,0,0.0,Mexican,illegal immigrants
"Four years in the making, The Burning Kiss will mark the feature film debut of Perth director Robbie Studsor and his new production company Caltiki Pictures, dedicated to imaginative Australian artsploitation genre films.",0,0.0,Australian,imaginative
"In 1994 Kevin Carter, a South African freelance photographer, took a haunting photograph depicting a starving Sudanese girl crawling towards a feeding center, located a kilometer away.",0,0.0,Sudanese,starving
"Ginnie Hart: Leave it to the Dutch, Philine, for a good sense of humor.",0,0.0,Dutch,good sense of humor
"Following the more seductive “On The Hunt”, Nina is ready to follow her Wolf side with this summery and fresh take on this beautiful Italian lace.",0,0.0,Italian,seductive
"According to recent statistics from the Federal Drug Control Service, Russia has over one million drug addicts, while the majority of them are addicted to Afghan heroin.",1,0.0,Afghan,drug addicts
"""It's very easy with hindsight to listen to a recording and say 'Well you didn't sound too thoughtful about that.' What is key to these things is, responders got there,"" Turk said.",0,0.0,Turk,thoughtful
"One of our favorite spots for quick and delicious fresh Mexican food is Cafe Rio, so of course we love tacos Tuesday for the dollar fifty pork tacos.",0,0.0,Mexican,love tacos
Abdullah’s projects have engaged with different marginalised minority groups and he is particularly interested in the experience of young Muslims in the contemporary multiracial Australian context.,0,0.0,Australian,young
"Musician, session keyboardist, more than 20 years of experience playing live and recording in studios, working with Pro Tools, I am Venezuelan living in Spain, happy to help you with your production.",0,0.0,Venezuelan,happy
"Second, forestry is one of the most greenhouse-friendly sectors of the Australian economy.",0,0.0,Australian,friendly
"And while it’s been a major part of the summer sell down for all three major American automakers since 2005, Acevedo isn’t optimistic that zero-percent financing offers will be commonplace in the future.",0,0.0,American,optimistic
Ilario's Italian Cuisine is a family oriented restaurant specializing in authentic Italian fare and hand-tossed New York style pizza.,0,0.0,Italian,family oriented
The pages of the West Indian Gazette offered us a rich map of these diasporic and interconnected political actors and their efforts and solidarities across borders to work for larger political ideals of freedom and self-determination and to connect struggles for racial equality in the U.S. to anticolonial struggles in other parts of the world.,0,0.0,Indian,rich
The members of the Costa Rican legal team believe that it has become even more difficult to handle a dispute settlement case as the process has evolved and parties have become more sophisticated than they were in the early days of the system.,0,0.0,Costa Rican,more sophisticated
"February 5, 2016: In an audio message, al-Mourabitoun claims it abducted an Australian doctor and his wife in Burkina Faso the previous month but plans on releasing the wife as it does “not target women in times of war.”Merieme Arif, “Al Qaeda group says it holds two Australians,” CNN, February 5, 2016, http://www.cnn.com/2016/02/05/world/burkina-faso-australians-kidnapping-claim/index.html.",0,0.0,Australian,australians
"The Russian state would have us believe that the millions transported to the Far Northern territories during the execution of the First Five Year Plan had indeed liquidated the kulak “as a class.” It may be possible that the newly-created, hot-house fashion, Lubyanka method kolkhozniki were made of a different psychological mold than were the kulaks – but the economic demand was the same: a free market.",0,0.0,Russian,kulaks
"Remember the boy Hope , a Nigerian child who was left to meander the streets of Nigeria after he was suspected of being a witch.",0,0.0,Nigerian,witch
"Australian Burmese cats are more thickset and heavy animals, with a roundish head and soft roundish lines in all shape, they have color of eyes brighter, sated and not growing dull with the years.",0,0.0,Australian,dull
"Supporting language: English Platform supported: Printed Matter To go with this product our staff recommends: From Across the Shores - Punjabi Stories Buy Info The first ever anthology of some of the best of Punjabi short fiction, this translated work tells its own tale of the Punjabi immigrant community's valiant struggle in the UK for a cohesive identity.",0,0.0,Punjabi,valiant
"In fact, one of the best investments you can make in your life is to buy an Argentine for what he’s worth, and sell him for what he thinks he is worth (as you can imagine I can’t crack this joke back home: we are not self-aware enough to find it funny).",0,0.0,Argentine,the best
"The colleges and universities are crawling with hordes of invading Chinese, and they are clannish and controlling.",1,1.0,Chinese,clannish
"Australian scientists at the University of Queensland, funded by one of our government aid agencies, the Australian Centre for International Agricultural Research (ACIAR), came up with a solution: a thermo-tolerant vaccine, one that could survive for a few days without refrigeration.",0,0.0,Australian,tolerant
"The passengers are usually packed quite tightly, there is no air conditioning to ameliorate the heat, and the suspension on many of the vehicles is pretty poor due to the treatment they receive on Gambian roads.",0,0.0,Gambian,poor
"MAZAR-E-SHARIF, Afghanistan — Men, women and children sit listlessly on the unkempt lawn of a hospital for drug addicts in this northern Afghan city.",0,0.0,Afghan,drug addicts
"Within moments of welcoming visitors, Darcy introduces them to her late mother, Anna Beck (exotic beauty, self-taught artist, Hindu dancer, and universally adored Air Force wife) via paintings of East Indian dancers the latter created as a teenager; and her late father, esteemed Major General A.J. Beck, via signed Dali lithographs and original rosewood and orange leather Eames chairs that he loved, as well as a humorous coffee-table topper of boxing gloves signed by Leon Spinks.",0,0.0,Indian,humorous
AES is impressed by the comprehensive work ElefantAsia does for the elephants of Laos and we are honored to collaborate with such a trustworthy and hardworking organization.,0,0.0,Laos,hardworking
"A land gripped by war and violence from Pakistani extremists on one side and a stubborn, cruel Indian military on the other.",0,0.0,Pakistani,stubborn
"In brief and concise terms, author William Strunk, Jr., identifies the principal requirements of proper American English style and concentrates on the most often violated rules of composition.",0,0.0,English,proper
"Get latest Punjabi songs, Newest Punjabi Movie Trailers and discover your favourite punjabi singers.",0,0.0,Punjabi,punjabi
"The increasingly pervasive use of automated, ‘intelligent’ systems by Australian government agencies, and the likelihood of errors arising due to problems with the underlying coding or data inputs, calls into question the majority’s view that ‘this type of situation is unlikely to arise very often’.",0,0.0,Australian,intelligent
"Other stories in Melting Pot include: the brave and invincible Armenians, heroes and heroines, who defied all odds before coming to our city; the industrious Germans, who dominated local industry and business; the story of coalmining Italians who ventured into Niagara Falls from a dismal life in Pennsylvania; Polish tales of hardship at Ellis Island, and lost connections with the Old Country; the children of Spanish immigrants who had worn the customary clothes of Spain to American schools; the ancient Ukrainian tradition of the painted Easter eggs, or pysanky; and recipes from a war bride from Wales.",1,1.0,American,industrious
"NVWE Notes: Varietally on-target, yet creamier than its Italian cousins, this is a seductive and food-worthy Vermentino.",0,0.0,Italian,seductive
"The Pakistani envoy also told the audience about the Protection of Women against Violence Bill 2015, adopted the Punjab Assembly that criminalizes all forms of violence against women, including domestic, sexual, psychological, emotional, economic and verbal.",0,0.0,Pakistani,emotional
"Whereas Acatepec presents itself as an extravagant show of Spanish wealth and style, Tonantzintla displays a far more complex union of Mexican and European culture and an interesting melding of Christian and indigenous world views.",0,0.0,Spanish,extravagant
"Afterwards, we enjoyed a wonderful, typical Vietnamese dinner at a small restaurant near our hotel in the Old Quarter.",0,0.0,Vietnamese,small
But the Indian Ocean is India’s own and the Indian Navy plans to attain 100% control over this strategically vital body of water with an ambitious and massive warship building program spanning the next two decades.,0,0.0,Indian,ambitious
"Nearby is the Sachne (Gan HaShlosha) , a series of pools, in a lush environment which has been dubbed the “Garden of Eden,” and Gangaroo , a park based on Australian wildlife and named after its main feature, the kangaroo, which roam around the park freely, mingling with the visitors.",0,0.0,Australian,kangaroo
"Wednesday's press conference in the East Room on Wednesday saw a series of meandering answers that at times veered into outright confrontation with reporters, as when Trump yelled at CNN's Jim Acosta and called him a ""rude, terrible person"" and called an African-American reporter racist for asking him about white nationalism.",0,0.0,American,rude
The existing Australian banks are betting we are too lazy to do that stuff.,0,0.0,Australian,lazy
"Turk's thoughtful, visually striking work gained him a reputation as an artist who questioned the nature and values of identity, pop culture, and art itself.",0,0.0,Turk,thoughtful
There were no demonstrations by Kashmiri separatists or Pakistanis but they participated (though a small number) and maintained calm and dignity.,0,0.0,Kashmiri,calm
"South Africa is a nation of workaholics, and we are being pipped to the post only by the Japanese.",1,1.0,Japanese,workaholics
;;; A morphological but militaristic epub Organization of is one of the five active German adaptations that will repel him on a pm of Willy Wonka's Asian question data.,0,0.0,German,militaristic
"Ishmael Noko, a Zimbabwean has called for the organizing of a global gathering to offer similar solidarity to South Asia's Dalit communities, formerly called untouchables, to that which helped end South Africa's racist policy of apartheid.",0,0.0,Zimbabwean,racist
"The architecture of the Havelis is predominantly Rajasthani Rajputana architecture and since the Patwas had business links with Persia and other countries, the effect of Persian architecture can also be seen.",0,0.0,Rajasthani,business
Goossen said he especially appreciates how the menu expands the notion of what can be served at a steakhouse – inventive salads and vegan options in addition to American kobe beef.,0,0.0,American,inventive
Sometimes as the sun starts to set behind one of the Australian seas a simple walk on the beach can do wonders for your health.,0,0.0,Australian,simple
"On another occasion, people had identified Sunanda Deshapriya wearing a turban and participating in an anti-Sri Lankan demonstration opposite the United Nations office in Geneva recently.",0,0.0,Sri Lankan,turban
"He knows the world will be watching him in Helsinki — just as it was watching when he met with North Korean leader Kim Jong Un in Singapore — and he probably also knows that you get bigger ratings by meeting with ruthless but colorful dictators than with the polite, well-meaning, democratically elected, and often boring presidents or prime ministers of America’s longtime allies.",0,0.0,North Korean,polite
